Dex Number	Name	Variant	Ev. Kind	Ev. Value	Category	Description
20	Raticate				Mouse Pokémon	"Raticate's sturdy fangs grow quickly.
To keep them ground down, it
gnaws on hard materials. It may
even chew on the walls of houses.
Its has water-proof fur, webbed
feet and its a capable swimmer."
20	Raticate	Alolan			Mouse Pokémon	"Alolan Raticate command their
Rattata underlings to bring them
food every night.
Five star restaurants often struggle
with these aggressive Pokémon
nesting close to their grounds."
21	Spearow		Level	Medium	Tiny Bird Pokémon	"Lives in flocks on grasslands. Very
protective of its territory. It flaps its
short wings to dart around at high
speed. It is a little short-tempered
- if disturbed, it will shriek, calling its
flock for aid."
22	Fearow				Beak Pokémon	"Fearrows soar around wastelands
and fields. It has the stamina to fly
all day. It is easily annoyed and ill
tempered. It attacks using its sharp
beak to peck and pierce the foes."
23	Ekans		Level	Medium	Snake Pokémon	"Lives on grasslands. Preys on
Rattatas and Pokémon Eggs it finds.
It’s jaw can detach itself to swallow
any prey whole. It coils and sleeps
after eating. Ekans grow bigger with
age."
24	Arbok				Cobra Pokémon	"This Pokémon has an incredibly
strong constricting power. Once
it wraps its body around its foe,
escaping is almost impossible. The
pattern on its body glows in the
dark like a terrifying face."
25	Pikachu		Stone	Thunder Stone	Mouse Pokémon	"Lives in small groups in forests but
they tend to stay hidden. It stores
electricity in the electric sacs on its
cheeks and uses its tail to ground
the excess charge. They can be
stubborn and wary of strangers."
26	Raichu				Mouse Pokémon	"When electricity builds on its body,
it starts to emit a faint glow and
it becomes more aggressive than it
normally is. They live in forests but
are rare to find in the wild."
26	Raichu	Alolan			Mouse Pokémon	"Scientists were baffled to discover
Raichu's evolution in the Alola Region.
There is no explanation as to how
it gained Psychic abilities, but diet
seems to be factor. It loves sweet
food and pancakes."
27	Sandshrew		Level	Medium	Mouse Pokémon	"They usually hide burrowed under
caves and grasslands. A few have
been sighted living in the desert.
They are shy by nature - they dig
and curl in a ball when facing a
threat."
27	Sandshrew	Alolan	Level	Medium	Mouse Pokémon	"Sandshrew who became trapped in
the merciless cold weather of Alola
had to change their types to survive.
They now depend on snow to roll
around, without it they are unable
to curl up into a ball."
28	Sandslash				Mouse Pokémon	"It’s less shy than its first stage. It
curls up in a ball to protect itself
from enemy attacks. Surprisingly, it is
a good climber that uses its sharp
claws for grip and drilling tunnels
underground."
28	Sandslash	Alolan			Mouse Pokémon	"These Pokémon make their burrows
on Alola's ice caverns, hidden in
plain sight. Careful with its spikes,
any puncture into the skin and you
can get severe frostbite. They can’t
stand high temperatures."
29	Nidoran F		Level	Medium	Poison Pin Pokémon	"A female only species. It lives close
to meadows and forests. They
are mellow Pokémon. To protect
herself, she secretes a powerful
toxin through her body. Her horn is
small but venomous to the touch."
30	Nidorina		Stone	Moon Stone	Poison Pin Pokémon	"Nidorinas are jealous creatures.
They don’t like other females near
their mates. Otherwise, they are
very social creatures. When it’s
around friends or family, its barbs
are tucked away to prevent injury."
31	Nidoqueen				Drill Pokémon	"Motherly by nature, it uses its scaly
rugged body to seal the entrance
of its nest and protect its young
from predators. There are records
of angry Nidoqueens sending
people flying with a single tackle."
32	Nidoran M		Level	Medium	Poison Pin Pokémon	"The male Nidoran has developed
a great alertness to sounds. Its
small body is covered in spikes that
are drenched in venom when he’s
threatened. He will defend his mate
and home fiercely."
33	Nidorino		Stone	Moon Stone	Poison Pin Pokémon	"An independent and fierce
creature. It roams alone in search
for a mate and will compete with
other males around. It will violently
charge with a venom drenched
horn against intruders."
34	Nidoking				Drill Pokémon	"It is recognized by its rock-hard hide
and its extended horn. Be careful
with the horn as it contains venom.
There are records of one trampling
and destroying a radio tower that
was being built on his territory."
35	Clefairy		Stone	Moon Stone	Fairy Pokémon	"Very rare to find. Clefairies are said
to come from the moon. They are
drawn to the light of this celestial
body and come out of hiding at
night to dance and play in the
moonlight."
36	Clefable				Fairy Pokémon	"There are not many records about it
in the wild. They are timid but playful.
Clefable uses its wings to skip lightly
as if it was flying. Its bouncy step lets
it walk on water. On quiet, moonlit
nights, it strolls near lakes."
37	Vulpix		Stone	Fire Stone	Fox Pokémon	"It is born with just one tail. As it
grows, its single white tail gains color
and splits into six. It is quite warm
and cuddly - very popular with the
ladies . It is, however, uncommon to
see one in the wild."
37	Vulpix	Alolan	Stone	Ice Stone	Fox Pokémon	"The Vulpix who became stranded in
Alola had to change type in order
to survive. Alola’s local name for this
Pokémon is Keokeo.
They use their tails as a fan to cool
themselves in hot climates."
38	Ninetales				Fox Pokémon	"It is known to understand human
speech. It is very valued for its
exuberant golden fur and the
mystical power of its nine tails. It is,
however, known to hold a grudge
against those who mistreat it."
38	Ninetales	Alolan			Fox Pokémon	"In old times, Alolan natives revered
this Pokémon as a god incarnate.
It is usually calm and benevolent, but
it can be ruthless when disturbed,
leaving its foes as a cold block
of ice in the snow."
39	Jigglypuff		Stone	Moon Stone	Balloon Pokémon	"They live in grassy fields near the
mountains. To climb they inflate
their bodies and bounce up. It
captivates foes with its huge, round
eyes, then lulls them to sleep by
singing a sweet soothing melody."
40	Wigglytuff				Balloon Pokémon	"Its fur is extremely fine and conveys
an image of luxury. Its body is soft
and rubbery. When angered, it will
suck the air and inflate itself to an
enormous size. It is a favorite pet
and a nurse Pokémon."
41	Zubat		Level	Medium	Bat Pokémon	"It lives in dark caves all around the
world. Prolonged exposure to the
sun will make it unhealthy. It is blind
but uses echolocation to find its
way. At night, they leave their cave
to feed on fruit and bug Pokémon."
42	Golbat		Stat	Happiness 4	Bat Pokémon	"A stealthy Pokémon who loves the
dark. Its fangs can puncture even a
thick hide. It loves to feast on the
blood of people and Pokémon alike.
If it drinks too much, it gets heavy
and can hardly fly."
43	Oddish		Level	Medium	Weed Pokémon	"This Pokémon grows by absorbing
moonlight. During daytime, it buries
itself in the ground, leaving only its
leaves exposed to avoid detection
by its predators. You can locate it
by the smell its leaves release."
44	Gloom		Stone	Leaf/Sun Stone	Weed Pokémon	"A horribly noxious honey drools from
its mouth. One whiff of the honey
can result in sickness. Some fans are
said to enjoy its overwhelming stink,
though. You can control this foul
smell with lots of love and care."
45	Vileplume				Flower Pokémon	"It lives in marshlands and jungles
where it’s often mistaken for local
flora. The air around a Vileplume
turns yellow with the powder it
releases as it walks. The pollen is
highly toxic and causes paralysis."
46	Paras		Level	Medium	Mushroom Pokémon	"Paras has two parasitic mushrooms
growing on its back. They grow
large by drawing nutrients from this
Bug Pokémon. They are valued as
a medicine for prolonging life. Paras
can be found in humid areas."
47	Parasect				Mushroom Pokémon	"Their personality changes after
evolution since the mushroom
takes over its mind. Its body is now a
husk devoid of nutrients. To survive
they cling to a tree and absorb the
nutrients until the tree dies."
48	Venonat		Level	Slow	Insect Pokémon	"It lives in the holes of trees in dense
forests and jungles. Its large eyes
never fail to spot even minuscule
prey. Sometimes Venonat uses its
powers to confuse travelers and
make them lose their way."
49	Venomoth				Poison Moth Pokémon	"They are plentiful in forests but only
come out at night. They possess
an incredible eyesight and are
attracted to light sources. Their
wings scatter a toxic powder which
they use to immobilize their prey."
50	Diglett		Level	Medium	Mole Pokémon	"It prefers dark places and spends
most of its time underground.
It has a very thin skin. It’s frail and
has problems regulating its own
temperature. Keep it burrowed or it
will get sick."
50	Diglett	Alolan	Level	Medium	Mole Pokémon	"This variant of Diglett is only found
in the Alola region. The small hairs
on its head are used perceive its
surroundings while burrowed, do
not cut them or Diglett will become
very sick."
51	Dugtrio				Mole Pokémon	"Because the triplets originally split
from one body, they think exactly
alike. They work together to dig
endlessly through the ground.
They are known for destroying the
foundations of roads and buildings."
51	Dugtrio	Alolan			Mole Pokémon	"Thanks to its golden mane, this
Pokémon has been revered as a
feminine deity. The triplets groom
each other to help keep the hair
glossy and dirt-free, they don’t like
to be petted."
52	Meowth		Level	Medium	Scratch Cat Pokémon	"They used to live in grasslands but
have adapted really well to life in the
city. Shiny things fascinate them and
they keep a little treasure hidden.
The coin on its head is its most
prized possession."
52	Meowth	Alolan	Level	Medium	Scratch Cat Pokémon	"In old times, Meowth were taken to
Alola as gifts for the tribe’s royals,
this caused them to become
incredibly greedy and pampered.
Nowadays they are feral, but their
prideful nature remained."
53	Persian				Classy Cat Pokémon	"They are proud and temperamental.
They scratch their trainers with little
to no provocation whatsoever.
Their elegance and grace is very
valued, although they can be
vicious hunters."
53	Persian	Alolan			Classy Cat Pokémon	"They were bred for their silky fur
and round faces, not for their
temperament. This is an extremely
proud Pokémon who will look down
to anyone but itself, despite this, it’s
very popular among Alola’s elite."
54	Psyduck		Level	Medium	Duck Pokémon	"It lives near lakes and ponds but
it’s not very good at swimming. It is
always tormented by headaches
that worsen when it uses psychic
powers. Psyducks seem unaware of
their own power."
55	Golduck				Duck Pokémon	"A Golduck is an adept swimmer and
can be found near most bodies
of water. Its forehead shimmers with
light when using its psychic abilities.
There are records of wild Golducks
that rescued people in the water."
56	Mankey		Level	Slow	Pig Monkey Pokémon	"It lives on the mountains or at the top
of fruit trees. Light and agile on its
feet and ferocious in temperament.
When it gets angry, it goes into a
frenzy and cannot be controlled."
57	Primeape				Pig Monkey Pokémon	"It grows angry if you see its eyes
and gets angrier if you run. If you
fight it will go mad with rage.
Not many trainers are capable of
handling it, the angrier it gets the
less intelligent it becomes."
58	Growlithe		Stone	Fire Stone	Puppy Pokémon	"Friendly, loyal and fearless to defend
its trainer. These traits have gained
them a place working as police
Pokémon. They are uncommon in
the wild but some packs can be
seen in hot environments."
59	Arcanine				Legendary Pokémon	"Its proud and regal appearance
has made it be revered by people
of ancient societies. Its magnificent
bark conveys a sense of majesty.
Anyone in front of Arcanine can’t
help but stare in awe."
60	Poliwag		Level	Medium	Tadpole Pokémon	"They are most common near ponds
and lakes during the summer. Its
legs take some weeks to develop
after it hatches, making it inept at
walking. It is, however, a very fast
swimmer."
61	Poliwhirl		Stone/Trade	Water Stone/Trade	Tadpole Pokémon	"Though it is skilled at walking, it
prefers to live underwater where
there’s less danger. It sweats to
keep its skin moist. Thanks to this, it
can easily slip out of the clutches of
any enemy."
62	Poliwrath				Tadpole Pokémon	"It’s not common to find it in the wild.
Most sightings take place when it is
on land. Once he is inside the water,
it will swim far away. This Pokémon
is an outstanding swimmer, capable
of beating any human."
63	Abra		Level	Medium	Psi Pokémon	"They are attracted to the cities
and tend to live close to humans. Its
Psychic abilities are still developing,
it can sleep up to 18 hours a day or
else it won’t be able to use them.
When in danger, it teleports away."
64	Kadabra		Trade	Trade	Psi Pokémon	"Kadabra holds a silver spoon in its
hand. The spoon is used to amplify
the alpha waves of its brain.
When this Pokémon walks in, objects
near to it go crazy, moving in ways
they shouldn’t."
65	Alakazam				Psi Pokémon	"A Pokémon that can memorize
anything and never forgets what
it learns. Over time it becomes too
smart to allow anyone to be its
master. Alakazam's psychic powers
can be terrifying."
65	Alakazam	Mega			Psi Pokémon	"With the power of the Mega Stone
it is constantly plagued with visions
of the future which make it great at
evading attacks. Its body is feeble
and it moves purely through psychic
energy."
66	Machop		Level	Medium	Superpower Pokémon	"It lives in mountains, training its fists
against strong rocks , lifting boulders
and hurling Rock Pokémon around
to build stronger muscles. Even with
its small size, it can compete against
expert humans and win."
67	Machoke		Trade	Trade	Superpower Pokémon	"Even with its strong frame and
power, it is a humble and helpful
Pokémon. Many of them work for
human companies. On their days
off you can see them heading to
the wild to train together."
68	Machamp				Superpower Pokémon	"There are a few roaming in the
mountains. Machamp has the power
to hurl anything aside.
However, trying to do any work that
requires care and dexterity may
cause its arms to get tangled."
69	Bellsprout		Level	Medium	Flower Pokémon	"They live in hot and humid places,
blending around with the flora.
It is carnivorous and will try to eat
anything smaller than itself.
It digests its prey with an acid
substance on its mouth."
70	Weepinbell		Stone	Leaf Stone	Flycatcher Pokémon	"It sprays its stun powder to immobilize
a prey coming close to it, then
eats it calmly. If the prey is bigger
than itself, it uses its sharp leaves to
slice it into smaller pieces. Beware of
the toxic liquid in its mouth."
71	Victreebel				Flycatcher Pokémon	"They live together in small groups
at tropical areas. Victreebel uses a
sweet honey-like smell to lure and
attract prey. They also use their
long vines to rustle bushes around.
They are territorial and aggressive."
72	Tentacool		Level	Slow	Jellyfish Pokémon	"It lives in the seas all around the
world. They release a toxic ink if
startled. It is a surprisingly intelligent
Pokémon and can use its tentacles
to briefly establish a link between its
mind and another creature."
73	Tentacruel				Jellyfish Pokémon	"Lives in rock formations at the
bottom of the ocean. It can grow
tentacles at will and uses them to
immobilize prey. Records exist of a
giant Tentacruel that sunk a fleet
of pirate ships filled with treasure."
74	Geodude		Level	Medium	Rock Pokémon	"Lives in mountains and caves. It
looks indistinguishable from other
rocks around. Because of this, many
trainers step on them and are
attacked. It rolls to move around and
eats whatever it finds on the floor."
74	Geodude	Alolan	Level	Medium	Rock Pokémon	"The magnetic fields on Alola’s Blush
Mountain made Geodude develop
Electric chargers on its body.
They tend to disguise themselves as
regular rocks, caution is advised as
they shock you if you step on them."
75	Graveler		Trade	Trade	Rock Pokémon	"It walks slowly, but it can get a nice
speed by rolling downhill.
It is good at climbing. Groups of
them have been seen clinging from
rock formations and cliffs to eat the
tasty rocks covered in moss."
75	Graveler	Alolan	Trade	Trade	Rock Pokémon	"These Pokémon charge themselves
by rolling around, it is dangerous if
two of them collide, a loud noise
and a flash of light will be seen and
heard at great distance.
They feed on golden dravite."
76	Golem				Megaton Pokémon	"It is rare to see in the wild since
it lives high on the mountains. It
withdraws its head and legs as if it
were a turtle to roll around. There
have been cases of Golem that
resist dynamite blasts unscathed."
76	Golem	Alolan			Megaton Pokémon	"The Alolan variant of Golem does
not roll around like its counterpart,
instead it loads rocks into the
charger on its head and shoots
them around, if the rocks miss, the
electric shockwave doesn’t."
77	Ponyta		Level	Medium	Fire Horse Pokémon	"It’s not very common to see one stay
still for more than a few seconds.
Soon after it’s born, its flames begin
to burn. It is weak at first but soon
begins to develop a great speed
chasing after its parents."
78	Rapidash				Fire Horse Pokémon	"It lives happily on prairies.
It loves speed competitions - a herd
can often be seen running alongside
a train. It can regulate the heat of
its mane as to let its trainer ride it,
but only if it trusts him enough."
79	Slowpoke		Level	Slow	Dopey Pokémon	"It lives close to water. This Pokémon
has a low intellect, and it’s slow to
react to any stimuli. Its tail seeps a
sweet substance it uses to lure prey
to eat. When the tip turns white
shellders will be attracted to it."
80	Slowbro				Hermit Crab Pokémon	"This Pokémon fused with a Shellder
that bit into its tail. It’s a slow
swimmer and doesn’t react to pain
but Shellder tends to keep it out of
trouble."
80	Slowbro	Mega			Hermit Crab Pokémon	"With the power of the Mega Stone
the Shellder on its tail becomes a
bulletproof armor that swallows its
host’s whole body.
Slowpoke doesn’t seem to mind and
looks pretty comfy to nest inside."
81	Magnemite		Level	Medium	Magnet Pokémon	"It lurks near electric facilities and
mountains as it is attracted by big
magnetic fields. It is not aggressive
and usually defends itself with a
screech or a weak electric impulse
to deter other from attacking."
82	Magneton		Level	Slow	Magnet Pokémon	"Sometimes three Magnemites fuse
into this Pokémon; other times
a single one sprouts two others.
This species is greatly affected by
magnetic fields. Magnetons are
eager to please their trainers."
83	Farfetch’d				Wild Duck Pokémon	"There used to be whole flocks of
them in meadows near the lakes.
Now they are almost extinct
because their meat is delicious.
They are fond of leeks and celery,
they carry them around as sticks."
84	Doduo		Level	Slow	Twin Bird Pokémon	"It can fly, but it prefers to run in the
prairies. The two heads usually get
along. While one is eating or sleeping,
the other one is alert for predators.
It is known that they share a brain
and their ideas are connected."
85	Dodrio				Triple Bird Pokémon	"A third head comes to change the
dynamic the two original had. It is
common to see the three heads
fighting. Each one has its own
personality, but when they work as
a team they can be very powerful."
86	Seel		Level	Slow	Sea Lion Pokémon	"A Pokémon that lives on icebergs. It
swims in the sea using the point on
its head to break up the ice.
It sleeps a lot during the day,
being most active at dawn when
the temperature starts to cool."
87	Dewgong				Sea Lion Pokémon	"Its body is covered with a pure white
fur. The colder the weather, the
more active it becomes. It hunts at
night and it’s excellent at catching
fish Pokémon.
It is also very intelligent and playful."
88	Grimer		Level	Slow	Sludge Pokémon	"It was born from polluted sludge
in the sea. Grimer's favorite food
is anything filthy like waste water
pumped out from factories. Grime
and sludge stick to their body
making them grow larger over time."
88	Grimer	Alolan	Level	Slow	Sludge Pokémon	"Grimer were brought into Alola to eat
garbage on the region. It seemed
like a counterintuitive measure but
ended up solving the problem. But
now Grimer are incredibly noxious,
much more toxic than usual."
89	Muk				Sludge Pokémon	"It gathers on polluted areas to eat
filth. Its body is made of a powerful
poison that kills any plant. Touching
it can cause a fever that will require
bed rest. A good diet may reduce
Muk's toxicity."
89	Muk	Alolan			Sludge Pokémon	"It is as friendly as it is toxic, be careful
for it tries to hug others regularly. A
good diet does not help reduce its
toxicity levels, it only makes it cranky
and prone to destroy furniture. It
releases toxic fumes all the time."
90	Shellder		Level	Medium	Bivalve Pokémon	"It lives at the bottom of the sea
and rivers. It feeds on algae but it’s
attracted to sweet substances.
When frightened it will shut its clam
and lock it to be almost impossible
to open."
91	Cloyster				Bivalve Pokémon	"If it lives in seas with harsh currents,
it will grow larger and sharper
spikes on its shells than those
who live on calm waters. Its shell is
extremely hard - you would need
explosives to try to open it."
92	Gastly		Level	Medium	Gas Pokémon	"Its body is made of a toxic gas -
anyone would faint if engulfed by
it. It has been seen in abandoned
places scaring people and other
pokemon for fun. It is elusive and
escapes through the walls."
93	Haunter		Trade	Trade	Gas Pokémon	"Haunter is a dangerous Pokémon.
it will try to lick you with its tongue
to steal your life away. If you get
the feeling of being watched in
darkness when nobody is around, it
means a Haunter is there."
94	Gengar				Shadow Pokémon	"This Pokémon is mischievous but it
can be downright evil. It takes joy
in casting curses upon innocents
and eating the life of people and
Pokémon. It lurks in the shadows
and disguises itself as one."
94	Gengar	Mega			Shadow Pokémon	"With the power of the Mega Stone
Gengar can now teleport through
dimensions, whatever horrors it
witnesses there make it try to curse
anything or anyone it perceives as
prey, even its beloved trainer!"
95	Onix		Trade	Trade holding an Item	Rock Snake Pokémon	"It is not full-size when it’s born. Years
of eating boulders make it a real
giant. It lives on mountains and dark
tunnels. Its frightening roars travel
as echo through the cave. It is very
aggressive towards others."
96	Drowzee		Level	Slow	Hypnosis Pokémon	"It eats the dreams of a sleeping
person or Pokémon and shows
fondness to the dreams of young
children. Once the victim is deep in
slumber it will extract and eat the
dream through the nose."
97	Hypno				Hypnosis Pokémon	"Old children stories tell of an Hypno
who takes away naughty kids and
feasts on their dreams until they
are old men. They have an urge to
eat the dreams of others since they
cannot sleep themselves."
98	Krabby		Level	Slow	River Crab Pokémon	"A Krabby dig holes in the sand near
the sea.
They can be seen squabbling with
each other over food and territory.
They usually avoid humans but will
fight if provoked."
99	Kingler				Pincer Pokémon	"Its pincers grow peculiarly large. If it
lifts the pincers too fast, it may lose
its balance and stagger. If one of its
pincers is damaged, it will detach it
from its body. It will regrow after a
few days.."
100	Voltorb		Level	Slow	Ball Pokémon	"They live near factories and electric
generators. It bears an uncanny
and unexplained resemblance to
a Pokéball. Since it explodes at the
slightest provocation, even veteran
trainers treat it with caution."
101	Electrode				Ball Pokémon	"It is known for causing blackouts in
the cities. After evolving it explodes
as a form to release excess electricity
or simply to amuse itself.
Trainers need to be careful around
an Electrode."
102	Exeggcute		Stone	Leaf Stone	Egg Pokémon	"Even though it appears to be eggs
of some sort, it is related more to a
seed. It gathers in packs of six that
have a mental link with each other.
Each one of them has a different
personality."
103	Exeggutor				Coconut Pokémon	"Originally from tropical areas.
Exeggutor's heads grow larger with
strong sunlight. Each head thinks
independently. They are friendly
and provide their shade to other
Pokémon."
103	Exeggutor	Alolan			Coconut Pokémon	"Alola is the native region for this
Pokémon, only in there it can evolve
into this form. With this size, its
Psychic abilities are rarely needed
and its trainer’s order’s rarely heard.
They enjoy the sun in the beach.."
104	Cubone		Level	Slow	Lonely Pokémon	"Cubone wears a skull helmet it
never removes. It is said to be from
its mother or someone dear to it.
Lives in the mountains where it cries
at night due to the sadness it feels.
It is distrustful of humans."
105	Marowak				Bone Keeper Pokémon	"Its rough past has hardened its
heart. Now tenacious and violent,
this Pokémon will use its Bone club as
a weapon against foes. Marowak's
den is usually full of the bones it has
collected."
105	Marowak	Alolan			Bone Keeper Pokémon	"Alola has many predators for an
orphaned Cubone, so its mother’s
spirit lingered close to protect her
baby. This otherworldly influence
made Marowak fiercer and changed
its type completely."
106	Hitmonlee		Stat	Strength Max	Kicking Pokémon	"Kicking Pokémon
Its legs freely stretch and contract.
It bowls over foes with devastating
kicks. It is very disciplined and trains
every day. It is very rare in the wild,
and it is mostly found in urban areas"
107	Hitmonchan		Stat	Vitality Max	Punching Pokémon	"It specializes in punching as fast as
it can. Using a corkscrew motion,
it can even drill through concrete
with it’s bare hands. This Pokémon
takes its training very seriously.
It’s very rare to see one in the wild."
108	Lickitung		Level	Slow	Licking Pokémon	"Its tongue is twice as long as its
body and it is used for everything,
from capturing prey to feeling it’s
surroundings and cleaning itself. It
really dislikes sour and bitter flavors."
109	Koffing		Level	Slow	Poison Gas Pokémon	"It is drawn to the smog and fumes
of the cities. It fills its body with toxic
gases to float like a balloon. When
it gets nervous it releases a sickly
green gas. Breathing this gas will
give you a bad case of sniffles."
110	Weezing				Poison Gas Pokémon	"They are considered a pest in
urban areas. They wait until night to
roam and eat from the trash cans in
the neighborhood. If it finds a filthy
and unkempt house it will make its
nest in there."
111	Rhyhorn		Level	Slow	Spikes Pokémon	"It lives in grasslands and rough
terrains. It is covered with a thick
hide and it tramples any threats by
running towards them. It is not very
smart, though. It can keep trampling
things for hours just because."
112	Rhydon		Trade	Trade holding an Item	Drill Pokémon	"It has a horn that serves as a drill
for destroying rocks and boulders.
Rhydon occasionally goes for a swim
in rivers and even magma pools. Its
great resistance prevents it from
taking any damage."
113	Chansey		Stat	Happiness 5	Egg Pokémon	"There are only females in this species.
Chansey lays a nutritive egg every
day. These eggs are fed to the sick
to give them strength. It is a loving
and smart Pokémon, but it’s pretty
rare and elusive in the wild."
114	Tangela		Level	Slow	Vine Pokémon	"It blends with foliage on jungle and
forest areas. Its vines snap off easily
and painlessly if they are grabbed,
allowing it to make a quick getaway.
The lost vines are replaced by new
growth the very next day."
115	Kangaskhan				Parent Pokémon	"A female only species. It raises its
offspring in its belly pouch. The
young leaves once it learns to find
its own food. In the wild, mothers
and daughters fiercely defend
each other."
115	Kangaskhan	Mega			Parent Pokémon	"The mother gives all the power of the
Mega Stone to her child. The child
grows violent and both team up as
formidable fighters. But the mother
worries about her child’s future as she
raised it better than that."
116	Horsea		Level	Slow	Dragon Pokémon	"It makes its nest in the shade of
corals in shallow parts of the sea.
If it senses danger, it spits a murky
ink and flees. It has been seen
shooting down flying bugs to eat
them."
117	Seadra		Trade	Trade holding an Item	Dragon Pokémon	"The poisonous barbs all over its body
are highly valued as ingredients for
making traditional medicine.
It will show no mercy if anything
approaches its nest. Its back fin has
a numbing substance"
